Molecule (RDKit Mol),SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42,cid,is_psychedelic
CCN1CC2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@@H](C[C@H]23)C1(O)C[C@H](OC)[C@H]2C[C@@H]4C1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@@]34[C@@H]2C[C@@H]([C@@H]13)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
O=C(CCN1CC[C@@H](c2ccccc2)C1)c1ccc2c(c1)OCCO2.O=C(CCN1CC[C@H](c2ccccc2)C1)c1ccc2c(c1)OCCO2,7.0402,193.239,294.451043,77.54,674.838,674.335587,8,0,10,0,8,0,8,50,96,8,4,2,4,0,2,4,4,0,0,0.380952,28.635717,17.991697,13.457009,10.125191,7.307655,17.991697,13.457009,10.125191,7.307655,-4.66,33.819031,16.364672,8.547524,18.947452,87.062376,0.0,0.0,69.361979,97.061873,0.0,0.0,0.0,0.0,22.998047,0.0,28.536526,0.0,9.799819,0.0,37.519099,65.696066,119.315679,0.0,22.998047,11.56649,28.747271,9.589074,0.0,0.0,0.0,60.663671,85.292074,50.147572,0.0,26.427528,34.564537,0.0,0.0,0.0,42,0,0,0,0,0,0,0,2,2,4,50,10,2,0,32,12,0,10,14,8,0,0,0,0,2,4,2,0,30,12,0,0,0,2,6,0,0,0,0,4,2,unknown,1
Cl.O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,4.9211,108.1065,161.790799,49.33,373.924,373.180857,3,2,8,2,2,0,4,26,54,3,2,0,1,0,0,0,2,0,1,0.409091,15.933213,9.36267,6.842716,5.061754,3.744935,9.36267,6.842716,5.061754,3.744935,-1.84,20.471646,10.34306,5.326454,5.316789,17.620589,17.63618,0.0,60.399755,48.530937,0.0,0.0,0.0,0.0,0.0,12.407033,9.901065,0.0,5.316789,0.0,50.987592,6.544756,70.784743,0.0,0.0,18.376338,10.423316,4.794537,0.0,0.0,12.407033,61.37258,54.481849,6.420822,6.041841,0.0,0.0,0.0,0.0,5.969305,22,0,1,0,0,0,0,1,0,2,0,26,9,1,0,11,6,0,8,5,3,2,2,0,0,2,7,1,0,10,5,0,0,0,0,2,1,0,0,0,4,2,unknown,1
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CCC(OC)[C@]34C1[C@H](CC23)[C@@]1(O)CC(OC)[C@H]2CC4C1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@H](CC23)[C@@]1(O)C[C@H](OC)[C@H]2CC4[C@]1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
C[C@H](N)C(=O)c1ccccc1.Cl,1.6383,51.6699,78.180736,43.09,185.654,185.060742,2,2,2,1,2,0,3,12,24,1,1,0,0,0,0,0,1,0,0,0.222222,7.674445,3.564166,2.518951,1.47187,0.865311,3.564166,2.518951,1.47187,0.865311,-0.86,11.14,4.906136,2.642064,5.733667,11.825086,0.0,0.0,17.281726,30.331835,0.0,0.0,0.0,0.0,0.0,12.407033,4.794537,0.0,0.0,5.733667,12.965578,0.0,35.895287,0.0,0.0,18.190278,5.733667,4.794537,0.0,0.0,12.407033,30.331835,6.923737,5.563451,6.041841,0.0,5.783245,0.0,0.0,0.0,9,0,1,0,0,0,0,1,0,1,0,12,4,1,0,3,3,0,2,3,2,2,1,0,0,3,0,2,0,5,1,0,0,0,0,1,0,0,0,0,0,0,unknown,1
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1C(C[C@H]23)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@H](C[C@H]23)[C@@]1(O)CC(OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
NCC1CC(=O)N(Cc2ccccc2)C1.NCC1CC(=O)N(Cc2ccccc2)C1.O=C(O)/C=C/C(=O)O,1.6994,142.4524,222.071973,167.26,524.618,524.263485,10,6,8,4,6,2,10,38,74,4,2,2,2,0,2,2,2,0,0,0.357143,21.316306,12.388086,9.141232,6.056847,4.079562,12.388086,9.141232,6.056847,4.079562,-4.02,30.205433,15.954002,10.934965,11.467335,69.94487,32.267662,11.835812,23.968546,72.815711,0.0,0.0,0.0,0.0,0.0,0.0,29.391204,0.0,9.799819,23.303147,25.931156,26.179026,83.942614,0.0,0.0,23.75297,31.480209,9.589074,9.589074,0.0,0.0,60.663671,36.052228,51.172709,0.0,0.0,0.0,11.814359,0.0,11.938611,28,0,0,0,0,0,0,2,2,6,0,38,12,5,0,16,6,0,8,16,10,6,4,0,0,8,6,2,0,14,8,0,0,0,2,2,0,0,0,0,0,0,unknown,1
CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@@H](C[C@H]23)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC,2.2216,151.6958,246.5603,126.79,584.71,584.309766,10,3,7,3,9,1,10,42,86,7,1,6,6,0,1,1,1,5,5,0.75,25.169081,15.440224,13.683122,12.636322,11.604974,15.440224,13.683122,12.636322,11.604974,-2.08,28.676916,9.458689,3.208718,5.316789,102.565247,23.741989,29.086615,56.309571,24.265468,0.0,0.0,0.0,5.687386,0.0,0.0,38.749581,0.0,4.89991,29.086615,87.108475,39.735694,29.82892,0.0,0.0,17.563871,34.477295,9.694447,4.794537,0.0,0.0,19.056471,44.360777,76.347163,29.562737,16.803152,0.0,5.90718,0.0,5.969305,32,0,0,0,0,0,0,1,1,8,0,42,16,2,0,27,3,0,7,18,10,3,3,0,0,9,6,2,0,10,11,4,0,0,2,5,0,0,0,0,10,8,unknown,1
