cid,Molecule (RDKit Mol),SlogP,SMR,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHeavyAtoms,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,NumLipinskiHBA,NumLipinskiHBD,NumAmideBonds,NumHeteroAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,HallKierAlpha,kappa1,kappa2,kappa3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,FractionCSP3,LabuteASA,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14
670488,CC(=O)N/C(=C/C1=CC=CC=C1)/C(=O)NCC2=CC=CO2,1.6,unknown,71.3,284.31,284.11609238,3,2,5,21,16,0,0,0,0,0,0,2,0,2,1,21,8,3,0,6,5,0,5,8,5,2,2,0,0,3,4,3,0,9,2,0,0,0,1,1,0,0,0,0,0,0,5.0,2.0,2.0,5.0,21.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.8199999999999994,14.586227811599894,7.093633435767636,4.649391609170185,11.628004075284773,6.498557150251924,4.411923550897632,2.669179339357982,1.739758689219296,6.498557150251924,4.411923550897632,2.669179339357982,1.739758689219296,0.125,122.20564481113685,10.633577208012662,11.814359458703011,16.133830774056218,0.0,18.24743611026206,58.84192272497951,0.0,6.076020106833881,0.0,0.0,0.0,0.0,14.006225305196992,0.0,10.633577208012662,0.0,13.4684936056032,0.0,65.7484706984976,0.0,0.0,17.890379565536893,15.05072814506601,9.589074368143644,0.0,0.0,0.0,30.33183534230805,23.772205735454097,6.923737199690624,12.807919401551633,11.457286731930274,0.0,5.907179729351506,5.907179729351506,0.0
116740,CC1CC=C(C2(C1C)C=CC(O2)C)C,2.9,unknown,9.2,192.30,192.151415257,1,0,0,14,13,0,0,0,0,0,0,0,0,0,1,14,4,0,0,9,2,0,0,2,1,0,0,0,0,4,0,0,0,5,4,1,0,0,1,1,0,0,0,0,1,0,1.0,0.0,0.0,1.0,14.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.56,9.974833219511819,3.2331564782775843,1.2614264902977679,9.579456686788166,5.60439919790849,4.863990504391257,3.9379034808002724,2.656229341623203,5.60439919790849,4.863990504391257,3.9379034808002724,2.656229341623203,0.6923076923076923,86.84123325866872,0.0,11.70501719873199,4.736862953800049,11.835812092322787,34.11577042168851,23.80116485057091,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,0.0,0.0,11.835812092322787,45.82078762042049,0.0,23.80116485057091,0.0,0.0,0.0,4.736862953800049,0.0,0.0,0.0,0.0,25.99951461304901,43.75323275153319,0.0,6.103966387748303,5.601050810983688,0.0,0.0,0.0,0.0
26226,C1CCC(C1)NCC(C2=CC(=C(C=C2)O)O)O,-0.1,unknown,72.7,237.29,237.13649347,4,4,4,17,13,0,0,0,0,0,0,1,0,3,0,17,7,0,0,8,3,0,4,7,4,4,4,0,0,3,2,1,0,7,4,0,0,0,1,1,0,0,0,0,0,0,4.0,4.0,0.0,4.0,17.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.26,12.203623140618557,5.381334994883078,3.1090193573136906,9.763926038380742,6.099094888134194,4.653578264561972,3.3392909113497153,2.2738148274576404,6.099094888134194,4.653578264561972,3.3392909113497153,2.2738148274576404,0.5384615384615384,100.91273020694008,5.316788604006331,27.90617941958265,0.0,0.0,37.350704371149334,18.19910120538483,0.0,0.0,0.0,0.0,11.49902366656781,0.0,15.319582184522117,0.0,5.316788604006331,0.0,37.829093708600304,6.544756405912575,23.762552697081826,0.0,11.49902366656781,0.0,20.63637078852845,0.0,0.0,0.0,0.0,18.90801031431363,30.537828874472233,12.586597235060536,6.103966387748303,0.0,11.49902366656781,0.0,0.0,0.0
777573,COC(=O)CSC1=NC(=CC(=N1)C(F)(F)F)C2=CC=CS2,3.3,unknown,106.0,334.3,334.00575437,9,0,5,21,12,3,0,0,0,2,0,0,2,2,0,21,10,1,0,6,5,0,4,6,4,0,0,0,0,5,3,1,1,7,4,0,0,0,1,1,0,0,0,0,0,0,4.0,0.0,0.0,9.0,21.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.61,15.772728072810697,6.438455836904202,4.177103965672311,12.310814791683555,7.461992998848437,5.651060443823913,4.029666827378548,2.744625680054628,5.5967416279400535,3.7608676099653047,2.3164814400628257,1.3678345782812154,0.25,125.92270857914653,0.0,28.799913477870586,15.707698655315344,0.0,5.693927994848461,28.735600457671453,0.0,10.57107518854976,0.0,13.171245143024459,0.0,23.098670827325854,22.702645280896327,0.0,9.967957041894417,0.0,11.332734999264183,12.862651148024323,29.273091970699205,0.0,10.57107518854976,29.067976115277702,4.736862953800049,4.794537184071822,9.967957041894417,13.171245143024459,11.336785877934737,17.828252017852726,17.512796907389134,0.0,23.433726336574082,5.693927994848461,5.156436481820707,0.0,0.0,12.145603805395325
288390,CN(CCC1=CNC2=CC=CC=C21)C(=O)CCC(=O)OC,1.7,unknown,62.4,288.34,288.14739250,3,1,7,21,16,0,0,0,0,0,0,1,1,3,0,21,10,2,0,5,5,0,6,8,5,1,1,0,0,4,5,3,0,6,3,0,0,0,1,1,0,0,0,0,2,1,5.0,1.0,1.0,5.0,21.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.3000000000000003,15.09578448298075,6.924424525522871,3.8416055437663434,12.387136937585868,6.973029595585507,5.000923725312144,3.5878855063355073,2.253226858035381,6.973029595585507,5.000923725312144,3.5878855063355073,2.253226858035381,0.375,123.43818808721713,0.0,42.462599198968334,20.7467589448697,0.0,18.405094737549014,30.462311845459514,0.0,10.902924932081056,0.0,0.0,0.0,0.0,14.325937321943693,0.0,9.883888251797686,0.0,19.26246486877803,20.702225929867296,36.02576333715651,0.0,0.0,22.77940994938441,14.620751205597735,9.589074368143644,0.0,0.0,0.0,18.19910120538483,18.050640183084614,37.1130185152099,13.530619164203543,0.0,0.0,5.907179729351506,0.0,5.969305287951849
256788,CSC1=NC(=C2C(=N1)N=C(C(=N2)C(=O)N)N)N,-0.3,unknown,172.0,251.27,251.05892911,8,3,2,17,8,0,0,0,0,1,0,3,4,1,0,17,6,1,0,6,5,0,2,9,8,6,3,0,0,5,1,1,0,4,6,0,0,0,0,2,0,0,0,0,2,1,8.0,6.0,1.0,9.0,17.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.1599999999999997,11.329108254259769,4.014704968244674,1.9137860155046589,9.653898351424163,5.696121238103587,3.86286057415394,2.5283337754044943,1.6004364815689862,4.471376366711998,3.089463912019966,1.9806112178993291,1.2330457461005444,0.125,100.02584802025861,17.201002431486554,32.09886299665174,0.0,0.0,10.488465178920283,5.156436481820707,0.0,11.16387793838399,0.0,11.635725555670057,0.0,11.761884949391115,4.794537184071822,0.0,19.935914083788834,5.733667477162185,5.156436481820707,17.723104137835776,5.693927994848461,0.0,0.0,40.46866817279666,17.201002431486554,4.794537184071822,19.935914083788834,0.0,0.0,11.761884949391115,6.255769183511404,0.0,0.0,0.0,33.64996797072321,0.0,5.907179729351506,0.0
234054,C1CN(CCN1CCOCCC#N)C2=CC(=CC=C2)Cl,2.0,unknown,39.5,293.79,293.1294900,4,0,6,20,15,0,1,0,0,0,0,1,2,1,0,20,8,0,1,9,3,0,6,5,4,0,0,0,0,2,6,0,0,8,4,0,0,0,0,2,0,0,0,0,0,0,4.0,0.0,0.0,5.0,20.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.2799999999999998,15.11539352147098,8.106610948775147,4.6778225845894115,12.350037822242305,7.347569999926807,5.265482148619949,3.690791754485546,2.5005511898479456,6.969605526917579,4.829046368147964,3.455694651697807,2.3160228106203165,0.5333333333333333,125.03910947380122,4.899909730850478,50.83745568943918,4.736862953800049,11.33111286753076,6.4208216229260096,24.26546827384644,5.022633313741326,0.0,0.0,5.687386274683562,0.0,11.600939890232516,4.736862953800049,5.261891554738487,4.899909730850478,0.0,6.4208216229260096,50.83745568943918,29.288101587587764,0.0,6.069221312792274,17.28832616491608,9.636772684650527,4.899909730850478,0.0,5.261891554738487,0.0,17.667306958694127,18.19910120538483,43.43380161798776,25.703806864744116,0.0,0.0,0.0,0.0,0.0
146317,COC1=C(C=C(C=C1)C=CC(=O)OC)O,1.8,unknown,55.8,208.21,208.07355886,4,1,4,15,11,0,0,0,0,0,0,0,0,4,0,15,7,2,0,3,3,0,3,8,4,1,1,0,0,4,4,1,0,3,3,0,0,0,0,1,0,0,0,0,0,0,4.0,1.0,0.0,4.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.97,11.10674597083653,5.046466054687782,3.016515733140179,8.558709812839679,4.301193288609045,2.7877792993138923,1.8159593311164242,1.0429900083354962,4.301193288609045,2.7877792993138923,1.8159593311164242,1.0429900083354962,0.18181818181818182,87.7493569705493,4.736862953800049,25.29542776534762,9.53140013787187,0.0,5.563451491696996,24.27512131221871,0.0,6.076020106833881,0.0,0.0,11.49902366656781,0.0,19.374790486512623,0.0,0.0,0.0,0.0,14.219595082555067,29.838572803915707,0.0,11.49902366656781,12.045325394785731,14.580253302440804,0.0,4.794537184071822,0.0,0.0,6.06636706846161,23.772205735454097,6.076020106833881,14.219595082555067,0.0,11.49902366656781,0.0,0.0,5.969305287951849
772247,CC(=O)NC1=CC=CC=C1NC(=O)C2=CC=CC=C2F,2.0,unknown,58.2,272.27,272.09610582,3,2,3,20,15,1,0,0,0,0,0,2,0,2,0,20,7,2,0,6,6,0,3,6,4,2,2,0,0,4,2,2,0,8,4,0,0,0,0,2,0,0,0,0,0,0,4.0,2.0,2.0,5.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.6899999999999995,13.734988538612722,5.967879590587581,3.1980726328987163,10.81326320745396,6.001931065347728,4.1607404231181455,2.6044478881170434,1.7257681726765703,6.001931065347728,4.1607404231181455,2.6044478881170434,1.7257681726765703,0.06666666666666667,115.1716276389807,10.633577208012662,11.814359458703011,4.794537184071822,5.817220841045895,17.28172587545944,48.53093654769288,0.0,0.0,0.0,15.765187597041944,0.0,0.0,13.979489415818463,0.0,0.0,0.0,6.923737199690624,10.633577208012662,59.91160888043577,0.0,0.0,23.189132008070136,10.633577208012662,9.589074368143644,4.39041504767482,0.0,0.0,24.26546827384644,24.26546827384644,6.923737199690624,16.93822404106412,5.817220841045895,0.0,5.907179729351506,5.907179729351506,0.0
107474,CCCCCCCCSCC(C[N+](C)(C)C)O,3.7,unknown,45.5,262.48,262.22046082,2,1,11,17,14,0,0,0,0,1,0,1,0,1,0,17,16,0,0,0,0,0,11,2,1,1,1,0,1,5,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,17.27,10.216501373834635,14.20880077830657,13.060483362260062,8.171721611947024,7.119233601008325,3.9087640337857588,2.841177596501603,7.017021073567774,5.969403686747267,2.710938045305115,1.8887774620265134,1.0,112.37064744934541,0.0,54.88700420772135,0.0,0.0,45.448666937246685,0.0,0.0,0.0,0.0,0.0,0.0,11.761884949391115,9.58955825253533,0.0,0.0,0.0,51.552633324994986,39.19347956743772,0.0,0.0,0.0,11.761884949391115,9.58955825253533,0.0,0.0,11.761884949391115,0.0,39.02784531432067,12.1736752296728,5.752853606746789,21.143015948031568,12.648722793660877,0.0,0.0,0.0,0.0
